product_category,product_colour,product_currency,product_description,product_link,product_name,product_price,product_region,product_size,product_time
Cadeaux pour Lui,noir,€,"Sac à dos en nylon à anse sur le dessus, poche extérieure zippée et plaque tête de Médusa.",https://www.versace.com/fr/fr-fr/cadeaux/cadeaux-pour-lui/sac-a-dos-en-nylon-tete-de-medusa-knn/DFZ5350-DNYLV_DTU_UNICA_KNN__.html?cgid=520000,Sac à dos en nylon Tête de Médusa,750 €,France,no available,2020-03-30 19:44:52.575259
Cadeaux pour Lui,bleu,€,Ce boxer en coton présente un motif Medusa au centre et une bordure à imprimé Greca sur sa taille élastique.,https://www.versace.com/fr/fr-fr/cadeaux/cadeaux-pour-lui/boxer-a-bordure-greca-a9x4/AU10026-A232741_A9X4.html?cgid=520000,Boxer à bordure Greca,50 €,France,"3,4,5,6,7,8",2020-03-30 19:44:52.656832
Vêtements Hommes,noir,€,Polo slim en piqué de coton avec écusson griffé et col contrastant.,https://www.versace.com/fr/fr-fr/jeans-couture/vetements-hommes/polo-en-coton-a-ecusson-griffe-e899/EB3GUA7P8-E36571_E899.html?cgid=12000001,Polo en coton à écusson griffé,85 €,France,"46,48,50,52,54",2020-03-30 19:44:52.697157
Vêtements Hommes,bleu,€,Veste slim en denim de coton stretch avec triple surpiqûre dorée.,https://www.versace.com/fr/fr-fr/jeans-couture/vetements-hommes/veste-slim-en-denim-e912/EC1GUA92P-EALK3M_E912.html?cgid=12000001,Veste slim en denim,445 €,France,"44,46,48,50,52,54",2020-03-30 19:44:52.744111
Cadeaux pour Lui,noir,€,"Ce jean coupe slim a été confectionné en denim extensible confortable. Les poches arrière sont ornées de broderies Barocco dorées. Cette pièce est également complétée par des écussons en cuir marqués du logo, instantanément reconnaissables.",https://www.versace.com/fr/fr-fr/cadeaux/cadeaux-pour-lui/jean-barocco-brode-a8008/A85187-A232938_A8008.html?cgid=520000,Jean Barocco brodé,495 €,France,"29,30,31,32,33,34,35,36",2020-03-30 19:44:52.783528
Vêtements Hommes,blanc,€,Polo slim en piqué de coton avec écusson griffé et col contrastant.,https://www.versace.com/fr/fr-fr/jeans-couture/vetements-hommes/polo-en-coton-a-ecusson-griffe-e003/EB3GUA7P8-E36571_E003.html?cgid=12000001,Polo en coton à écusson griffé,85 €,France,"46,48,50,52,54",2020-03-30 19:44:52.820576
Vêtements Hommes,blanc,€,T-shirt slim en coton avec logo sur le devant.,https://www.versace.com/fr/fr-fr/jeans-couture/vetements-hommes/t-shirt-en-coton-avec-logo-e003/EB3GUA7TQ-E36610_E003.html?cgid=12000001,T-shirt en coton avec logo,80 €,France,"XS,S,M,L,XL,XXL",2020-03-30 19:44:52.856202
Accessoires Femmes,noir,€,Sac shopper à imprimé graphique,https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-femmes/sac-shopper-imprime-emi9/EE1VVBBX1-E71421_ENU_NR_EMI9__.html?cgid=11000021,Sac shopper imprimé,165 €,France,no available,2020-03-30 19:44:53.354052
Vêtements Hommes,noir,€,Polo avec détails du logo et étiquette à l'avant.,https://www.versace.com/fr/fr-fr/jeans-couture/vetements-hommes/polo-avec-logo-e899/EB3GUB721-E36571_E899.html?cgid=12000001,Polo avec logo,150 €,France,"44,46,48,50,52,54",2020-03-30 19:44:53.392183
Accessoires Hommes,bleu,€,"Ce portefeuille à deux volets est rehaussé de l'imprimé Baroque Jewels et des lettres du logo. Le modèle dispose de plusieurs compartiments intérieurs à billets, à monnaie et à cartes.",https://www.versace.com/fr/fr-fr/jeans-couture/accessoires-hommes/portefeuille-a-deux-volets-baroque-jewels-e239/EE3YVBPB1-E71432_ENU_NR_E239__.html?cgid=12000021,Portefeuille à deux volets Baroque Jewels,150 €,France,no available,2020-03-30 19:44:54.213860
